Licensee Name,DBA,License #,Street Address,City,Zip,Operation,location
HUMBOLDT CARE AND WELLNESS CENTER LLC,NEW AGE MEDICAL,403-00882,1453 Woolsey Heights,Colorado Springs,80915,Medical,1453 Woolsey Heights Colorado Springs CO 80915
NATURES WAY WELLNESS CENTER INC,HIGH COUNTRY HEALING,403-00690,"2815 North El Paso Street Units A, C & D",Colorado Springs,80915,Medical,"2815 North El Paso Street Units A, C & D Colorado Springs CO 80915"
TODAYS HEALTH CARE II LLC,,403-00433,6345 East Platte Avenue,Colorado Springs,80915,Medical,6345 East Platte Avenue Colorado Springs CO 80915
BIG MEDICINE LLC,BIG MEDICINE CANNABISSARY,403-01617,"2565 Weston Road, Unit 136",Colorado Springs,80910,Medical,"2565 Weston Road, Unit 136 Colorado Springs CO 80910"
BND LLC,A CUT ABOVE,403-01616,3758 #B Astrozon Boulevard,Colorado Springs,80910,Medical,3758 #B Astrozon Boulevard Colorado Springs CO 80910
C^3 COLORADO SPRINGS LLC,PURE INTENTIONS WELLNESS CENTER,403-01029,"2517 Airport Road, Unit B,",Colorado Springs,80910,Medical,"2517 Airport Road, Unit B, Colorado Springs CO 80910"
CLINIC 5280,CLINIC 5280,403-01606,1752 Shasta Drive,Colorado Springs,80910,Medical,1752 Shasta Drive Colorado Springs CO 80910
DISCREET TREATS LLC,,403-01280,"288 South Academy Boulevard, Suite C",Colorado Springs,80910,Medical,"288 South Academy Boulevard, Suite C Colorado Springs CO 80910"
EMERALD CITY WELLNESS LLC,EMERALD CITY WELLNESS,403-01167,2565 Weston Road Units 128 Collective,Colorado Springs,80910,Medical,2565 Weston Road Units 128 Collective Colorado Springs CO 80910
FOUR SCORE LLC,DISCREET TREATS,403-01210,"288 South Academy Boulevard, Unit C",Colorado Springs,80910,Medical,"288 South Academy Boulevard, Unit C Colorado Springs CO 80910"
FRANKS FARM LLC,FRANK'S FARM,403-01612,715 South Circle Drive,Colorado Springs,80910,Medical,715 South Circle Drive Colorado Springs CO 80910
GARDEN MC LLC,GARDEN MC,403-01652,17-19 Iowa Avenue,Colorado Springs,80910,Medical,17-19 Iowa Avenue Colorado Springs CO 80910
JP LABS LLC,,403-01526,"288 South Academy, Suite B",Colorado Springs,80910,Medical,"288 South Academy, Suite B Colorado Springs CO 80910"
JP WELLNESS LLC,,403-01209,"296 South Academy Boulevard, Suite L",Colorado Springs,80910,Medical,"296 South Academy Boulevard, Suite L Colorado Springs CO 80910"
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,403-00640,2517 Durango Drive,Colorado Springs,80910,Medical,2517 Durango Drive Colorado Springs CO 80910
PRISY & ASSOCIATES LLC,WELLSTONE,403-00125,2685 Durango Drive,Colorado Springs,80910,Medical,2685 Durango Drive Colorado Springs CO 80910
ROCKY ROAD REMEDIES LLC,,403-00444,2575 Weston Road,Colorado Springs,80910,Medical,2575 Weston Road Colorado Springs CO 80910
SLAM ENTERPRISES LLC,NATURALEAF,403-00796,2611 Durango Drive,Colorado Springs,80910,Medical,2611 Durango Drive Colorado Springs CO 80910
TZ FINANCIAL LLC,HIGH COUNTRY HEALING,403-00335,2516 Weston Road,Colorado Springs,80910,Medical,2516 Weston Road Colorado Springs CO 80910
WTJ FAMILY ENTERPRISES LLC,WTJ MMJ SUPPLY,403-00239,2848 Delta Drive,Colorado Springs,80910,Medical,2848 Delta Drive Colorado Springs CO 80910
AUGUST MOON LLC,AUGUST KITCHEN,403-01646,3228 East Platte Avenue,Colorado Springs,80909,Medical,3228 East Platte Avenue Colorado Springs CO 80909
BEST BUDZ LLC,BEST BUDZ,403-00610,2545 & 2547 East Platte Place,Colorado Springs,80909,Medical,2545 & 2547 East Platte Place Colorado Springs CO 80909
BIJOU WELLNESS CENTER LLC,,403-00839,"2132 East Bijou Street, Suites 110, 111, 119 & 124",Colorado Springs,80909,Medical,"2132 East Bijou Street, Suites 110, 111, 119 & 124 Colorado Springs CO 80909"
COLORADO WHOLESALE DISTRIBUTION LLC,,403-01467,2211 East Boulder Street,Colorado Springs,80909,Medical,2211 East Boulder Street Colorado Springs CO 80909
DR RELEAF INC,DR. RELEAF INC,403-01366,2639 East Willamette Avenue,Colorado Springs,80909,Medical,2639 East Willamette Avenue Colorado Springs CO 80909
EAST WEST ALTERNATIVE MEDICINE LLC,,403-00754,"1905 North Academy Boulevard, Suite 100",Colorado Springs,80909,Medical,"1905 North Academy Boulevard, Suite 100 Colorado Springs CO 80909"
ELEVATED EXTRACTIONS LLC,,403-01479,325 Delaware Drive,Colorado Springs,80909,Medical,325 Delaware Drive Colorado Springs CO 80909
EZ NATURAL ALTERNATIVES LLC,HERBS PLACE,403-01048,"3475 Pine Tree Square, Suite E",Colorado Springs,80909,Medical,"3475 Pine Tree Square, Suite E Colorado Springs CO 80909"
GAME 7 LLC,PINK HOUSE COLORADO SPRINGS,403-00803,700 Juanita Street,Colorado Springs,80909,Medical,700 Juanita Street Colorado Springs CO 80909
GOLDEN BARN LLC,,403-01449,3601 East Platte Avenue,Colorado Springs,80909,Medical,3601 East Platte Avenue Colorado Springs CO 80909
H & M ENTERPRISE LLC,MEDICAL CANNABIS & PARTNERS LLC,403-01575,"335 North Circle Drive, Suite 101 & 201",Colorado Springs,80909,Medical,"335 North Circle Drive, Suite 101 & 201 Colorado Springs CO 80909"
H & M ENTERPRISE LLC,MEDICAL CANNABIS & PARTNERS LLC,403-01574,"335 North Circle Drive, Unit 201 & 101",Colorado Springs,80909,Medical,"335 North Circle Drive, Unit 201 & 101 Colorado Springs CO 80909"
HERBAL HEALING LLC,DANK BANK,403-01497,"1785 North Academy Boulevard, #165",Colorado Springs,80909,Medical,"1785 North Academy Boulevard, #165 Colorado Springs CO 80909"
HIGHER HEALING LLC,HIGHER HEALING,403-01559,"1785 North Academy Blvd., Unit 160",Colorado Springs,80909,Medical,"1785 North Academy Blvd., Unit 160 Colorado Springs CO 80909"
KIND THERAPEUTICS INC,,403-00616,4058 Palmer Park Boulevard,Colorado Springs,80909,Medical,4058 Palmer Park Boulevard Colorado Springs CO 80909
MYLAR GROUP LLC,,403-00530,2430 Platte Place,Colorado Springs,80909,Medical,2430 Platte Place Colorado Springs CO 80909
ORIGINAL CANNABIS GROWERS LLC,,403-00133,"2625 East Street Vrain, Units A, B, C & D",Colorado Springs,80909,Medical,"2625 East Street Vrain, Units A, B, C & D Colorado Springs CO 80909"
PAIN MANAGEMENT SOLUTIONS LLC,,403-01472,2222 East Boulder Street,Colorado Springs,80909,Medical,2222 East Boulder Street Colorado Springs CO 80909
QUALITY CHOICE ALTERNATIVE CARE CENTER,,403-01541,2390 East Boulder Street,Colorado Springs,80909,Medical,2390 East Boulder Street Colorado Springs CO 80909
QUALITY CHOICE ALTERNATIVE CARE CENTER LLC,QUALITY CHOICE,403-00086,2398 East Boulder Street,Colorado Springs,80909,Medical,2398 East Boulder Street Colorado Springs CO 80909
ROCKY MOUNTAIN MEDICAL LLC,,403-01005,616 Arrawanna Street,Colorado Springs,80909,Medical,616 Arrawanna Street Colorado Springs CO 80909
ROCKY MOUNTAIN MIRACLES LLC,,403-00316,2316 East Bijou Street,Colorado Springs,80909,Medical,2316 East Bijou Street Colorado Springs CO 80909
SDJ LLC,WP NATION,403-01649,"2509 Platte Place, Suite A",Colorado Springs,80909,Medical,"2509 Platte Place, Suite A Colorado Springs CO 80909"
STAINED GLASS INCORPORATED,,403-01624,123 North Union Boulevard,Colorado Springs,80909,Medical,123 North Union Boulevard Colorado Springs CO 80909
THE CANNABLISS COMPANY LLC,THE CANNABLISS COMPANY LLC,403-01475,"1785 North Academy Boulevard, Unit 100",Colorado Springs,80909,Medical,"1785 North Academy Boulevard, Unit 100 Colorado Springs CO 80909"
THE HEALING CANNA LLC,,403-00867,319 Iowa Avenue,Colorado Springs,80909,Medical,319 Iowa Avenue Colorado Springs CO 80909
THE HEALING CANNA LLC,,403-00866,3692 East Bijou Street,Colorado Springs,80909,Medical,3692 East Bijou Street Colorado Springs CO 80909
THE ORGANIC SEED LLC,CANNASSEUR,403-00584,2304 East Platte Avenue,Colorado Springs,80909,Medical,2304 East Platte Avenue Colorado Springs CO 80909
WELLNESS CENTERS OF COLORADO LLC,A-WELLNESS CENTER,403-00756,2599 East Willamette Avenue,Colorado Springs,80909,Medical,2599 East Willamette Avenue Colorado Springs CO 80909
ACME SMOKE LLC,MEDICAL TENT,403-00575,1202 East Fillmore Street,Colorado Springs,80907,Medical,1202 East Fillmore Street Colorado Springs CO 80907
AMERICAN WELLNESS CENTER LLC,,403-01230,3895 North Cascade Avenue,Colorado Springs,80907,Medical,3895 North Cascade Avenue Colorado Springs CO 80907
AMERIGREEN OF COLORADO SPRINGS ILCT LLC,THE AMERIGREEN COMPANY,403-00523,905 East Fillmore Street,Colorado Springs,80907,Medical,905 East Fillmore Street Colorado Springs CO 80907
BEST BUDZ LLC,,403-01583,3850 North Nevada,Colorado Springs,80907,Medical,3850 North Nevada Colorado Springs CO 80907
BIG MEDICINE LLC,BIG MEDICINE CANNABISSARY,403-01464,2909 North El Paso Street,Colorado Springs,80907,Medical,2909 North El Paso Street Colorado Springs CO 80907
BND LLC,A CUT ABOVE,403-00527,2809 North Prospect Street,Colorado Springs,80907,Medical,2809 North Prospect Street Colorado Springs CO 80907
CANNABICARE INC,THE CARE,403-01378,3512 North Tejon Street,Colorado Springs,80907,Medical,3512 North Tejon Street Colorado Springs CO 80907
CANNABIS CONNECTION LLC,CANNABIS CONNECTION,403-01611,3170 North Stone Avenue,Colorado Springs,80907,Medical,3170 North Stone Avenue Colorado Springs CO 80907
DANKERT CAPITAL LLC,THE DANKERY,403-01638,3745 Interpark Drive,Colorado Springs,80907,Medical,3745 Interpark Drive Colorado Springs CO 80907
ERINCARE LLC,THE TREEHOUSE,403-00524,34 Buchanan Street,Colorado Springs,80907,Medical,34 Buchanan Street Colorado Springs CO 80907
G AND D EQUITY VISION LLC,,403-01496,"3106 North Stone Avenue, Unit A",Colorado Springs,80907,Medical,"3106 North Stone Avenue, Unit A Colorado Springs CO 80907"
HIGH MOUNTAIN MEDZ LLC,LEVITY WELLNESS,403-00365,3110 North Stone,Colorado Springs,80907,Medical,3110 North Stone Colorado Springs CO 80907
MEDIBIS LLC,,403-01185,3701 North Nevada Avenue,Colorado Springs,80907,Medical,3701 North Nevada Avenue Colorado Springs CO 80907
MILE HIGH REMEDIES LLC,DOCTOR'S ORDERS,403-00973,2805 North Prospect Street,Colorado Springs,80907,Medical,2805 North Prospect Street Colorado Springs CO 80907
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,403-01510,2903 North Prospect Drive,Colorado Springs,80907,Medical,2903 North Prospect Drive Colorado Springs CO 80907
NATURES WAY WELLNESS CENTER INC,HIGH COUNTRY HEALING,403-01412,2815 North El Paso Street,Colorado Springs,80907,Medical,2815 North El Paso Street Colorado Springs CO 80907
P2C3 LLC,THE SECRET STASH,403-01300,3286 North El Paso Street,Colorado Springs,80907,Medical,3286 North El Paso Street Colorado Springs CO 80907
PIKES PEAK SALES & SUPPLY LLC,THE CROWN,403-01610,115 East Garden of the Gods Road,Colorado Springs,80907,Medical,115 East Garden of the Gods Road Colorado Springs CO 80907
PND LLC,A CUT ABOVE,403-00529,3435 Fillmore Ridge Heights,Colorado Springs,80907,Medical,3435 Fillmore Ridge Heights Colorado Springs CO 80907
SOUTHERN COLORADO MEDICAL MARIJUANA LLC,SOCO MMJ LLC,403-00719,3410 North Prospect Street,Colorado Springs,80907,Medical,3410 North Prospect Street Colorado Springs CO 80907
THE GREEN HOUSE INC,,403-01428,3214 North Nevada Avenue,Colorado Springs,80907,Medical,3214 North Nevada Avenue Colorado Springs CO 80907
THE GREEN HOUSE INC,,403-00079,3228 North Nevada Avenue,Colorado Springs,80907,Medical,3228 North Nevada Avenue Colorado Springs CO 80907
TINCTUREBELLE LLC,,403-01339,"62 Mount View Lane, Units D&E",Colorado Springs,80907,Medical,"62 Mount View Lane, Units D&E Colorado Springs CO 80907"
TRICHOME HEALTH CONSULTANTS,TRICHOME HEALTH CONSULTANTS,403-00344,"3120 Beacon Street, Unit I",Colorado Springs,80907,Medical,"3120 Beacon Street, Unit I Colorado Springs CO 80907"
WELLNESS CENTERS OF COLORADO LLC,A-WELLNESS CENTER,403-00755,2926 Wood Avenue,Colorado Springs,80907,Medical,2926 Wood Avenue Colorado Springs CO 80907
WESTSIDE WELLNESS CENTER LLC,"MAGGIE'S FARM, LLC",403-00358,818 East Filmore Street,Colorado Springs,80907,Medical,818 East Filmore Street Colorado Springs CO 80907
WHITE MOUNTAIN MEDICINE LLC,LIVWELL,403-01274,3234 North Nevada Avenue,Colorado Springs,80907,Medical,3234 North Nevada Avenue Colorado Springs CO 80907
ENLIGHTENED CARE PLUS LLC,ENLIGHTENED CARE PLUS LLC,403-01622,1609 South Nevada Avenue,Colorado Springs,80906,Medical,1609 South Nevada Avenue Colorado Springs CO 80906
HEAVENLY MEDICAL INC,HEAVENLY MEDICAL CAREGIVER,403-01319,2130 Reliable Circle,Colorado Springs,80906,Medical,2130 Reliable Circle Colorado Springs CO 80906
MEDICAL CANNABIS CAREGIVERS INC,MC CAREGIVERS,403-00070,1831 Mount Washington Avenue,Colorado Springs,80906,Medical,1831 Mount Washington Avenue Colorado Springs CO 80906
ARTISTANT DISPENSARY CENTER INC,LIVWELL,403-00319,1414 South Tejon Street,Colorado Springs,80905,Medical,1414 South Tejon Street Colorado Springs CO 80905
BIOMEDS LLC,BIOMEDS,403-01549,2301 Rand Avenue,Colorado Springs,80905,Medical,2301 Rand Avenue Colorado Springs CO 80905
CLINIC 5280,,403-01315,"1629 South Nevada Avenue, Suite 120",Colorado Springs,80905,Medical,"1629 South Nevada Avenue, Suite 120 Colorado Springs CO 80905"
COMPLIANCE INITIATIVES LLC,STRAWBERRY FIELDS ALTERNATIVE HEALTH AND WELLNESS,403-00250,1440 Pando Avenue,Colorado Springs,80905,Medical,1440 Pando Avenue Colorado Springs CO 80905
GROW LIFE LLC,,403-00204,1516 Dustry Drive,Colorado Springs,80905,Medical,1516 Dustry Drive Colorado Springs CO 80905
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,403-01615,2903 North Prospect Street,Colorado Springs,80905,Medical,2903 North Prospect Street Colorado Springs CO 80905
MOUNTAIN MED CLUB LLC,,403-00148,20 South Chestnut Street,Colorado Springs,80905,Medical,20 South Chestnut Street Colorado Springs CO 80905
PURE MEDICAL LLC,,403-00517,2125 Busch Avenue,Colorado Springs,80905,Medical,2125 Busch Avenue Colorado Springs CO 80905
TRICHOME HEALTH CONSULTANTS,TRICHOME HEALTH CONSULTANTS,403-00342,135 East Brookside,Colorado Springs,80905,Medical,135 East Brookside Colorado Springs CO 80905
ADVANCE CURE FOR VERA BESTURA LLC,HERBAN FARMER LLC,403-01195,"2755 Ore Mill Road, Units 13 & 14",Colorado Springs,80904,Medical,"2755 Ore Mill Road, Units 13 & 14 Colorado Springs CO 80904"
COMPLIANCE INITIATIVES LLC,STRAWBERRY FIELDS ALTERNATIVE HEALTH AND WELLNESS,403-00248,"2755 Ore Mill Road, Units 17/18",Colorado Springs,80904,Medical,"2755 Ore Mill Road, Units 17/18 Colorado Springs CO 80904"
CROSSPOINT 3132 LLC,CROSSPOINT MEDICAL CENTER,403-00387,3132 West Colorado Avenue,Colorado Springs,80904,Medical,3132 West Colorado Avenue Colorado Springs CO 80904
GARDEN OF THE BUDZ LLC,GARDEN OF THE BUDZ,403-01667,3178 West Colorado Avenue,Colorado Springs,80904,Medical,3178 West Colorado Avenue Colorado Springs CO 80904
GREEN AND HEALTHY WELLNESS LLC,GREEN AND HEALTHY WELLNESS,403-00659,212 South 21st Street,Colorado Springs,80904,Medical,212 South 21st Street Colorado Springs CO 80904
LUX INC,THE LUX LEAF,403-01672,2222 West Colorado Avenue,Colorado Springs,80904,Medical,2222 West Colorado Avenue Colorado Springs CO 80904
THE HERB SHOPPE LLC,THE HERB SHOPPE,403-01132,"3020 West Colorado Avenue, Suite C",Colorado Springs,80904,Medical,"3020 West Colorado Avenue, Suite C Colorado Springs CO 80904"
TRICHOME HEALTH CONSULTANTS,TRICHOME HEALTH CONSULTANTS,403-00347,2117 West Colorado Avenue,Colorado Springs,80904,Medical,2117 West Colorado Avenue Colorado Springs CO 80904
TRICHOME HEALTH CONSULTANTS,TRICHOME HEALTH CONSULTANTS,403-00341,"2285 Busch Avenue, Unit 2",Colorado Springs,80904,Medical,"2285 Busch Avenue, Unit 2 Colorado Springs CO 80904"
TRICHOME HEALTH CONSULTANTS,TRICHOME HEALTH CONSULTANTS,403-00346,"2295 Busch Avenue, Unit 3",Colorado Springs,80904,Medical,"2295 Busch Avenue, Unit 3 Colorado Springs CO 80904"
COLORADO SPRINGS MEDICAL GROUP LLC,TREE OF WELLNESS II,403-01603,705 North Nevada Avenue,Colorado Springs,80903,Medical,705 North Nevada Avenue Colorado Springs CO 80903
ENLIGHTENED CARE LLC,HIGH COUNTRY HEALING 4,403-00862,112-114 South Corona Street,Colorado Springs,80903,Medical,112-114 South Corona Street Colorado Springs CO 80903
MARI MEDS INC,,403-00093,222 East Moreno Avenue,Colorado Springs,80903,Medical,222 East Moreno Avenue Colorado Springs CO 80903
MARI MEDS INC,MARI MEDS,403-01650,223 East Moreno Avenue,Colorado Springs,80903,Medical,223 East Moreno Avenue Colorado Springs CO 80903
NATURAL MYSTIC CANNABIS CAREGIVERS LLC,,403-00043,"416 East Colorado Avenue, Suite 101",Colorado Springs,80903,Medical,"416 East Colorado Avenue, Suite 101 Colorado Springs CO 80903"
PAIN MANAGEMENT SOLUTIONS LLC,,403-00164,1022 South Royer Street,Colorado Springs,80903,Medical,1022 South Royer Street Colorado Springs CO 80903
PURE MEDICAL LLC,,403-00519,398 South Forty Road,Woodland Park,80863,Medical,398 South Forty Road Woodland Park CO 80863
TOTANKA LLC,,403R-00377,8768 County Road 90,Lake George,80827,Retail,8768 County Road 90 Lake George CO 80827
INDY 2 LLC,INDISPENSARY,403-00810,3721 Wildhorn Road,Florissant,80816,Medical,3721 Wildhorn Road Florissant CO 80816
J & J MOUNTAIN MEDICALS LLC,,403-00871,"11505 US Highway 24 West, Unit 16",Divide,80814,Medical,"11505 US Highway 24 West, Unit 16 Divide CO 80814"
EAGLES NEST WELLNESS CENTER,,403-00399,8455 West Highway 24,Cascade,80809,Medical,8455 West Highway 24 Cascade CO 80809
LARSEN GROUP II LLC,,403R-00580,206 Elm Drive,Log Lane Village,80705,Retail,206 Elm Drive Log Lane Village CO 80705
NATURES HERBS & WELLNESS CENTER II,,403-01538,17216 North Frontage Road,Log Lane Village,80705,Medical,17216 North Frontage Road Log Lane Village CO 80705
LIVWELL I LLC,LIVWELL,403-00894,"2647 8th Avenue, Unit B",Garden City,80631,Medical,"2647 8th Avenue, Unit B Garden City CO 80631"
NATURES HERBS & WELLNESS CENTER,,403-00085,522 27th Street,Garden City,80631,Medical,522 27th Street Garden City CO 80631
NATURES HERBS & WELLNESS CENTER,,403R-00066,540 27th Street,Garden City,80631,Retail,540 27th Street Garden City CO 80631
XG PLATINUM CORPORATION,,403R-00160,2506 6th Avenue,Garden City,80631,Retail,2506 6th Avenue Garden City CO 80631
ST VRAIN INDUSTRIES LLC,LYONS FIRE,403R-00532,1040 5th Avenue,Lyons,80540,Retail,1040 5th Avenue Lyons CO 80540
COLORADO HEALING LLC,HEADQUARTERS,403-01515,"5739 Bueno Drive, Suite C-2 & D-2",Fort Collins,80525,Medical,"5739 Bueno Drive, Suite C-2 & D-2 Fort Collins CO 80525"
COLORADO HEALING LLC,HEADQUARTERS,403-01514,"5739 Bueno Drive, Suites A & B",Fort Collins,80525,Medical,"5739 Bueno Drive, Suites A & B Fort Collins CO 80525"
KIND CARE OF COLORADO LLC,,403-01294,6617 South College Avenue,Fort Collins,80525,Medical,6617 South College Avenue Fort Collins CO 80525
SOLACE MEDS LLC,SOLACE MEDS LLC,403R-00317,"301 Smokey Street, Unit B",Fort Collins,80525,Retail,"301 Smokey Street, Unit B Fort Collins CO 80525"
CHOICE ORGANICS INC,,403-00211,"813 Smithfield Drive, Suites A & B",FORT COLLINS,80524,Medical,"813 Smithfield Drive, Suites A & B FORT COLLINS CO 80524"
CHOICE ORGANICS INC,,403R-00038,"813 Smithfield Drive, Units C & D",Fort Collins,80524,Retail,"813 Smithfield Drive, Units C & D Fort Collins CO 80524"
FLOWER POWER BOTANICALS LLC,,403-00825,1308 - 1310 Duff Drive,Fort Collins,80524,Medical,1308 - 1310 Duff Drive Fort Collins CO 80524
FLOWER POWER BOTANICALS LLC,,403R-00199,1308 -1310 Duff Drive,Fort Collins,80524,Retail,1308 -1310 Duff Drive Fort Collins CO 80524
GREEN MEADOWS WELLNESS LLC,INFINITE WELLNESS CENTER,403-01291,"1717 Willox Court, Unit B",Fort Collins,80524,Medical,"1717 Willox Court, Unit B Fort Collins CO 80524"
JDC LLC,A KIND PLACE,403-01318,938 North College Avenue,Fort Collins,80524,Medical,938 North College Avenue Fort Collins CO 80524
MEDICAL MJ SUPPLY LLC,BEST COLORADO MEDS.ORG,403R-00610,"120 Hemlock Street, Suite 110",Fort Collins,80524,Retail,"120 Hemlock Street, Suite 110 Fort Collins CO 80524"
MEDICAL MJ SUPPLY LLC,BEST COLORADO MEDS,403-01424,"120 Hemlock, Units 110 & 120",Fort Collins,80524,Medical,"120 Hemlock, Units 110 & 120 Fort Collins CO 80524"
MEDICAL MJ SUPPLY LLC,BEST COLORADO MEDS,403-01292,810 North College Avenue,Fort Collins,80524,Medical,810 North College Avenue Fort Collins CO 80524
NATURAL ALTERNATIVES FOR HEALTH LLC,,403-01405,"1420 Blue Spruce Drive, Unit H",Fort Collins,80524,Medical,"1420 Blue Spruce Drive, Unit H Fort Collins CO 80524"
NATURAL ALTERNATIVES FOR HEALTH LLC,NATURAL ALTERNATIVES FOR HEALTH,403R-00568,"1420 Blue Spruce Lane, Unit H",Fort Collins,80524,Retail,"1420 Blue Spruce Lane, Unit H Fort Collins CO 80524"
SOLACE MEDS LLC,,403-01418,1736-1740 Willox Court,Fort Collins,80524,Medical,1736-1740 Willox Court Fort Collins CO 80524
VERTS LLC,VERTICAL,403-01293,"120 West Hemlock Street, Units 130 & 140",Fort Collins,80524,Medical,"120 West Hemlock Street, Units 130 & 140 Fort Collins CO 80524"
ACES PLACE LLC,,403-01463,"120 Hemlock, Unit 150",Fort Collins,80521,Medical,"120 Hemlock, Unit 150 Fort Collins CO 80521"
GREEN MEADOWS WELLNESS LLC,INFINITE WELLNESS CENTER,403R-00311,900 North College Avenue,Fort Collins,80521,Retail,900 North College Avenue Fort Collins CO 80521
NATURAL ALTERNATIVES FOR LIFE LLC,GREEN TREE MEDICINALS,403-01331,1090 North 2nd Street,Berthoud,80513,Medical,1090 North 2nd Street Berthoud CO 80513
D and C MEDICAL MARIJUANA LLC,GOLDEN LEAF,403R-00225,2052 Snow Bowl Plaza,Steamboat Springs,80487,Retail,2052 Snow Bowl Plaza Steamboat Springs CO 80487
D and C MEDICAL MARIJUANA LLC,GOLDEN LEAF,403-01426,"2730 Downhill Drive, #103",Steamboat Springs,80487,Medical,"2730 Downhill Drive, #103 Steamboat Springs CO 80487"
D and C MEDICAL MARIJUANA LLC,GOLDEN LEAF,403-01453,"2800 Down Hill Plaza, Units 303 & 304",Steamboat Springs,80487,Medical,"2800 Down Hill Plaza, Units 303 & 304 Steamboat Springs CO 80487"
NATURAL CHOICE CO-OP,NATURAL CHOICE,403R-00168,1707 Copper Ridge Spur,Steamboat Springs,80487,Retail,1707 Copper Ridge Spur Steamboat Springs CO 80487
NATURAL CHOICE CO-OP,,403-01178,"2835 Downhill Plaza, Unit 603",Steamboat Springs,80487,Medical,"2835 Downhill Plaza, Unit 603 Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403R-00179,"2005 13th Street, Lower Unit D",Steamboat Springs,80487,Retail,"2005 13th Street, Lower Unit D Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403-00117,"2005 13th, Lower Unit D",Steamboat Springs,80487,Medical,"2005 13th, Lower Unit D Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403R-00178,"2750 Downhill Plaza, #204",Steamboat Springs,80487,Retail,"2750 Downhill Plaza, #204 Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403R-00180,"2750 Downhill Plaza, #206",Steamboat Springs,80487,Retail,"2750 Downhill Plaza, #206 Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403-00120,"2750 Downhill Plaza, Unit 204",Steamboat Springs,80487,Medical,"2750 Downhill Plaza, Unit 204 Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403-01311,"2750 Downhill Plaza, Unit 206",Steamboat Springs,80487,Medical,"2750 Downhill Plaza, Unit 206 Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403R-00177,"2835 Downhill Plaza, #601",Steamboat Springs,80487,Retail,"2835 Downhill Plaza, #601 Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403-00118,"2835 Downhill Plaza, Unit 601",Steamboat Springs,80487,Medical,"2835 Downhill Plaza, Unit 601 Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403R-00398,"2835 Downhill Plaza, Unit 605",Steamboat Springs,80487,Retail,"2835 Downhill Plaza, Unit 605 Steamboat Springs CO 80487"
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,403-01480,"2835 Downhill Plaze, Unit 605",Steamboat Springs,80487,Medical,"2835 Downhill Plaze, Unit 605 Steamboat Springs CO 80487"
ANTS ORGANIC LLC,,403R-00485,231 Arthur Avenue,Oak Creek,80467,Retail,231 Arthur Avenue Oak Creek CO 80467
CRAIG APOTHECARY,,403-00831,"240 Arthur Avenue, Suite A",Oak Creek,80467,Medical,"240 Arthur Avenue, Suite A Oak Creek CO 80467"
CRESTED BUTTE WELLNESS CENTER LLC,,403R-00302,240 Arthur Avenue,Oak Creek,80467,Retail,240 Arthur Avenue Oak Creek CO 80467
PARK RANGE RECREATIONALS LLC,,403R-00325,"100 West Main Street, # B",Oak Creek,80467,Retail,"100 West Main Street, # B Oak Creek CO 80467"
TONKA CONSTRUCTION LLC,TONKA CONSTRUCTION LLC,403R-00381,224 Arthur Avenue,Oak Creek,80467,Retail,224 Arthur Avenue Oak Creek CO 80467
APEX INDUSTRIES INC,HARVEST HOUSE,403R-00468,211 Highway 119,Nederland,80466,Retail,211 Highway 119 Nederland CO 80466
THE FLOWER COLLECTIVE LTD,,403R-00361,91 Big Springs Drive,Nederland,80466,Retail,91 Big Springs Drive Nederland CO 80466
ELEVATED QUALITY WHOLESALE LLC,,403R-00562,210 East 10th Street,Leadville,80461,Retail,210 East 10th Street Leadville CO 80461
JEM DUTCH ACRES LLC,CLOUD CITY COMPASSIONATE CARE,403R-00142,1900 County Road 8,Leadville,80461,Retail,1900 County Road 8 Leadville CO 80461
JEM DUTCH ACRES LLC,EARL'S,403R-00509,"1940 County Road 8, Unit A",Leadville,80461,Retail,"1940 County Road 8, Unit A Leadville CO 80461"
RFSCLVG LLC,,403R-00407,145 Front Street,Leadville,80461,Retail,145 Front Street Leadville CO 80461
SIPES MOUNTAIN TRADERS LLC,NATURE'S SPIRIT,403R-00223,11976 Highway 24 South,Leadville,80461,Retail,11976 Highway 24 South Leadville CO 80461
